movie_id,director_id
222,73
400,73
958,73
1816,73
2971,73
107,74
887,74
1089,74
108,75
192,75
109,76
1553,76
3769,76
110,77
128,77
111,78
173,78
1350,78
1356,78
2313,78
2617,78
114,79
608,79
669,79
735,79
1109,79
1126,79
1218,79
1259,79
1871,79
2535,79
2769,79
3583,79
3853,79
3925,79
122,80
149,80
183,80
525,80
727,80
123,81
201,81
251,81
266,81
468,81
824,81
847,81
1194,81
2206,81
2369,81
2629,81
2799,81
124,82
269,82
1802,82
4102,82
126,83
129,84
176,84
398,84
501,84
3111,84
3723,84
4255,84
4896,84
130,85
209,85
219,85
321,85
392,85
509,85
588,85
613,85
656,85
805,85
1374,85
1740,85
3361,85
131,86
337,86
761,86
1832,86
2455,86
3297,86
3375,86
4142,86
4283,86
132,87
133,88
134,89
246,89
602,89
2549,89
2821,89
3472,89
136,90
740,90
3300,90
4447,90
137,91
172,91
345,91
514,91
139,92
140,93
141,94
198,94
563,94
580,94
582,94
596,94
746,94
1182,94
3798,94
144,95
482,95
145,96
697,96
2103,96
2406,96
146,97
304,97
787,97
1041,97
1639,97
1659,97
1777,97
3880,97
147,98
229,98
277,98
375,98
865,98
150,99
491,99
791,99
1752,99
2370,99
151,100
1160,100
1546,100
1583,100
1956,100
155,101
157,102
158,103
447,103
1087,103
2699,103
159,104
308,104
610,104
1070,104
1612,104
1689,104
1714,104
2419,104
164,105
275,105
951,105
1329,105
1817,105
167,106
470,106
499,106
841,106
1000,106
1116,106
1403,106
1501,106
1544,106
1895,106
2248,106
4151,106
168,107
224,107
1507,107
1758,107
2443,107
2536,107
2606,107
2820,107
169,108
381,108
1650,108
2479,108
2835,108
170,109
502,109
2373,109
171,110
174,111
720,111
2540,111
2927,111
175,112
188,112
543,112
1877,112
3056,112
4000,112
177,113
214,113
535,113
1150,113
1560,113
2141,113
2651,113
181,116
184,117
226,117
323,117
399,117
846,117
2417,117
4782,117
185,118
517,118
186,119
914,119
942,119
3094,119
189,120
443,120
3011,120
4753,120
193,121
382,121
700,121
1043,121
1083,121
1921,121
2278,121
2807,121
3505,121
194,122
1515,122
2836,122
3596,122
3850,122
4974,122
199,124
200,125
207,125
202,126
203,127
286,127
352,127
373,127
386,127
944,127
1274,127
1868,127
2154,127
2437,127
2602,127
204,128
257,128
265,128
734,128
853,128
1331,128
210,129
359,129
385,129
530,129
213,130
367,130
549,130
2453,130
3018,130
3118,130
3217,130
4459,130
215,131
311,131
377,131
657,131
1290,131
2119,131
216,132
366,132
417,132
621,132
1004,132
1059,132
