movie_id,keyword_id
2771,28
2774,28
2777,28
2794,28
2995,28
3006,28
3039,28
3068,28
3133,28
3160,28
3206,28
3269,28
3332,28
3371,28
3406,28
3450,28
3461,28
3482,28
3499,28
3508,28
3548,28
3572,28
3587,28
3607,28
3689,28
3698,28
3800,28
3829,28
3855,28
3938,28
3980,28
4017,28
4045,28
4054,28
4066,28
4086,28
4127,28
4151,28
4157,28
4197,28
4323,28
4330,28
4344,28
4441,28
4475,28
4493,28
4494,28
4582,28
4594,28
4639,28
4644,28
4669,28
4729,28
4766,28
4847,28
5015,28
5021,28
5036,28
33,29
1721,29
34,30
4129,30
18,31
35,31
93,31
115,31
125,31
131,31
175,31
188,31
202,31
216,31
318,31
340,31
415,31
471,31
553,31
599,31
617,31
691,31
703,31
710,31
795,31
802,31
826,31
918,31
1027,31
1226,31
1229,31
1339,31
1433,31
1661,31
1732,31
1981,31
2014,31
2081,31
2114,31
2136,31
2306,31
2318,31
2688,31
3010,31
3057,31
3297,31
3433,31
3825,31
3884,31
4256,31
4550,31
4748,31
36,32
2763,32
4150,32
4605,32
37,33
54,33
113,33
38,34
2918,34
39,35
149,35
579,35
1096,35
1346,35
1566,35
2002,35
3250,35
3891,35
3900,35
3931,35
4779,35
4887,35
40,36
41,37
91,37
2500,37
42,38
532,38
613,38
675,38
898,38
919,38
942,38
1065,38
1108,38
1266,38
1301,38
1432,38
1444,38
1546,38
1564,38
1624,38
1625,38
1962,38
2036,38
2103,38
2274,38
2332,38
2368,38
2532,38
2564,38
2571,38
2581,38
2632,38
2690,38
2802,38
2997,38
3003,38
3074,38
3166,38
3369,38
3624,38
3808,38
4099,38
4101,38
4221,38
4576,38
4621,38
4754,38
4858,38
4931,38
4986,38
43,39
44,40
465,40
550,40
670,40
940,40
1060,40
1588,40
1662,40
1745,40
1983,40
2022,40
2027,40
2051,40
2250,40
2265,40
2538,40
2544,40
2556,40
2641,40
2653,40
2792,40
2805,40
2808,40
2943,40
2973,40
3197,40
3290,40
3302,40
3475,40
3519,40
3595,40
3600,40
3618,40
3682,40
3722,40
3797,40
3902,40
3919,40
4113,40
4135,40
4219,40
4501,40
4859,40
5021,40
